uuid,centroid_lon,centroid_lat,region,name
0681b7d5-1bc9-4298-82f2-92328f562004,117.54397,35.94893,新泰市,农高新
32368242-0da1-4965-96c5-7c88c4c00710,108.23089,22.61056,江南区,明阳正常打
5687c62c-198e-47ef-8f0b-e62930362236,108.70642,24.68666,罗城仫佬族自治县,罗城四把镇里乐村
32f1d8db-22ea-45a0-9823-459836414517,108.10965,23.82991,都安瑶族自治县,都安（不打）
ae079178-1192-4ba8-a55f-a0ecfd4ceb4d,108.23459,22.60738,江南区,明阳葡萄园
f866ce52-22aa-4b23-a5de-2592ea34fc8e,108.33004,22.81626,青秀区,广西
e287d8dc-93b8-48ed-aad8-e2c69290696d,117.55088,35.94761,新泰市,农高新智慧葡萄大棚
7f7a87a5-5e42-497f-8e59-2fb745dda61c,108.65225,23.44588,上林县,明阳2号
4f6d1295-e469-4de7-9062-41cbbbad8a4f,108.12839,23.89047,都安瑶族自治县,都安基地
806f4a35-ea2e-4559-b9ae-00478dd64852,108.23281,22.60917,江南区,明阳-巨峰
ac1e98fe-0d1c-4194-9781-0a5bb1b7e010,108.10715,23.83137,都安瑶族自治县,梁耀康毛葡萄
af013bc4-d0bd-4221-8393-2ece316f3729,109.50356,34.71682,临渭区,红提
8edc47ab-fd39-49b8-902a-5ebd9b2421f9,108.10886,23.82869,都安瑶族自治县,都安康盛毛葡萄
27fe044a-25e8-410b-98e9-aed5c4d7736e,106.75538,23.52439,田阳区,田阳县五村镇巴某村
63475fa4-f42c-4ccf-afc6-a5a840aff078,108.81386,24.72558,罗城仫佬族自治县,罗城县四把镇基地
4b65b473-1230-4b05-acd0-e95d11aab705,107.99245,24.09916,都安瑶族自治县,国隆毛葡萄
0fdb529e-b73e-41eb-bf3f-bf7312aa56fe,107.91745,24.18889,都安瑶族自治县,弄耀毛葡萄
efabbdd7-b0d6-4aad-98d8-fc368416076a,106.55878,27.58816,播州区,巴富洛阳光玫瑰1
e3508dbf-7b25-4657-82d0-787a001ee18e,117.17673,36.20943,泰山区,泰山区
cb7a3fe8-5c8e-4478-afba-13866b0984cd,108.1101,23.83194,都安瑶族自治县,安阳
9cf5db27-0e10-47f8-98f5-82e50376f862,116.92217,36.21822,岱岳区,巴富洛2号
6aac4aa6-f4f7-4c72-88f1-51ccf5e38172,117.5531,35.94625,新泰市,农高新东
9e3b1cf8-e346-47e3-aa32-d11b943fec7f,108.05164,23.82684,都安瑶族自治县,镇兴毛葡萄
dc78547c-90c4-45ce-b7ce-f3e8fb64bb70,108.11018,23.83105,都安瑶族自治县,毛葡萄
3bbb6135-2b70-4b00-ba03-2f3073195a2a,108.70132,24.86752,罗城仫佬族自治县,茶垌屯
b2da7645-e2e0-4c6a-9e86-b0a88c36caf9,108.24043,22.6112,江南区,广西农科院葡萄所明阳基地
018356eb-bac7-4cf8-b618-1e466c333aba,116.92004,36.21069,岱岳区,巴夫洛9号葡萄种植实验地
6b1ffd80-df9b-4ad8-9a9d-35a401d8674d,108.2307,22.6111,江南区,明阳基地（正常）
af5cfe35-e766-42cf-9121-f96204b6d150,110.54663,22.85687,容县,容县
040edff1-cfab-40e8-a447-be469b550904,116.92323,36.21539,岱岳区,道朗镇1号
9366701c-1a05-413a-b049-a28dbef21e71,108.11032,23.83093,都安瑶族自治县,都安（通知）
4900500d-0cc7-4e5c-83a6-4bd4c0744dde,108.79111,24.74511,罗城仫佬族自治县,记果园
54d00573-b84c-4dec-b428-c55f50d24ba8,108.07482,34.34683,武功县,杨陵
49629704-36e4-4b31-906c-264d5ad41d3f,116.90564,36.20832,岱岳区,道朗葡萄1
198de752-d68e-4d8b-803d-b98f750897d8,108.79134,24.74444,罗城仫佬族自治县,陈记果
b2c98cda-146e-4cba-b99b-b81237e68b52,116.9204,36.21802,岱岳区,巴地块1号
ca514b07-2afc-43fd-8eca-63e0624477e6,108.79162,24.74451,罗城仫佬族自治县,金峒屯陈记果金源葡萄园
cad10ed0-9986-4e74-b544-655ec1d81dd0,108.69418,24.70303,罗城仫佬族自治县,罗城仫佬族自治县添添种植家庭农场
6a6e0870-369e-4bdb-ab72-b7421ec8d625,108.69467,24.7039,罗城仫佬族自治县,添添种植家庭农场
5ac079ce-15c6-445b-9dc7-da33c50903d9,112.94898,28.19525,岳麓区,岳麓山
0691d1f9-7cba-4944-90ec-eb293084682f,108.10969,23.82991,都安瑶族自治县,都安（正常）
8c268540-2a6a-480e-beb1-825a54b49e8d,108.23022,22.61103,江南区,明阳基地（通知）
584510ad-67ca-4395-a17f-0aad4646662a,108.23913,22.61471,江南区,明阳基地（不打）
eeae00cc-4449-4283-ae01-497fc17ac47a,108.24616,22.84702,西乡塘区,广西农科院葡萄园
3779def5-2a29-4a3b-a037-c068314ef2a6,108.23119,22.61043,江南区,明阳模型
5c29d00d-31d0-43be-be48-e29be63a3bb6,108.10996,23.8301,都安瑶族自治县,毛葡萄正常打
854d12af-3ade-4af5-bfda-0c1b6ec05f51,108.10977,23.83009,都安瑶族自治县,毛葡萄不打
b61f5fee-bb57-4923-8723-0a399ab915b5,108.1098,23.83008,都安瑶族自治县,毛葡萄通知
acd8da04-e188-44a7-b567-db438e1f0731,108.24091,22.63037,江南区,明阳
e57f8524-3d5e-445f-bd25-8ad7d091bc3e,108.76685,24.72403,罗城仫佬族自治县,天霜葡萄
8319d897-8077-4432-b98c-0f3621b89190,98.87627,25.65819,泸水市,上江毛葡萄
